aX,aY,aZ
-0.255,-0.639,-0.244
-0.255,-0.647,-0.225
-0.257,-0.663,-0.204
-0.252,-0.671,-0.196
-0.252,-0.675,-0.184
-0.253,-0.680,-0.188
-0.256,-0.680,-0.190
-0.258,-0.675,-0.192
-0.268,-0.669,-0.197
-0.273,-0.674,-0.203
-0.270,-0.667,-0.206
-0.280,-0.663,-0.209
-0.274,-0.702,-0.211
-0.277,-0.701,-0.217
-0.274,-0.708,-0.217
-0.282,-0.715,-0.213
-0.286,-0.713,-0.203
-0.291,-0.717,-0.195
-0.300,-0.717,-0.189
-1.081,-0.378,-0.570
-1.098,-0.381,-0.619
-1.093,-0.378,-0.630
-1.082,-0.395,-0.668
-1.085,-0.386,-0.643
-1.085,-0.368,-0.667
-1.100,-0.358,-0.683
-1.103,-0.328,-0.671
-1.098,-0.326,-0.656
-1.084,-0.336,-0.652
-1.085,-0.305,-0.653
-1.074,-0.317,-0.643
-1.049,-0.336,-0.635
