Time, Accel_x, Accel_y, Accel_z, Gyr_x, Gyr_y, Gyr_z, Label
33:0:72, -0.68, -0.19, 0.26, 52.78, 135.80, 28.35
33:0:72, -0.86, -0.19, 0.21, 21.42, 146.44, 23.73
33:0:72, -1.04, -0.11, 0.20, -7.84, 147.98, 17.71
33:0:72, -1.29, 0.10, 0.20, -14.28, 128.66, 16.87
33:0:72, -1.27, 0.13, 0.23, -2.38, 108.78, 7.42
33:0:72, -1.16, 0.20, 0.16, 24.85, 96.18, -5.39
33:0:72, -1.11, 0.17, 0.14, 40.25, 74.69, -14.63
33:0:72, -1.07, 0.14, 0.16, 51.66, 41.58, -24.78
33:0:72, -1.08, 0.17, 0.15, 60.27, 44.31, -32.06
33:0:72, -1.16, 0.16, 0.11, 60.41, 43.54, -36.05
33:0:72, -1.35, 0.27, 0.06, 57.89, 42.14, -34.30
33:0:72, -1.56, 0.22, 0.05, 34.02, 43.26, -25.27
33:0:72, -1.72, 0.28, 0.10, 29.26, 47.39, -32.69
33:0:72, -1.75, 0.00, -0.04, 20.09, 8.05, -20.16
33:0:72, -1.94, 0.23, -0.05, 29.40, -15.82, -50.05
33:0:72, -1.96, 0.08, -0.08, 16.24, -40.95, -57.82
33:0:72, -1.95, -0.07, 0.14, -4.97, -45.15, -57.68
33:0:72, -2.03, -0.28, 0.16, 2.94, -45.99, -47.32
33:0:72, -1.96, -0.39, 0.17, 24.36, -59.36, -38.64
33:0:72, -1.74, -0.46, 0.08, 52.01, -96.88, -37.80
33:0:72, -1.47, -0.46, 0.05, 70.56, -145.60, -49.84
33:0:72, -1.26, -0.43, 0.07, 69.09, -167.72, -57.47
33:0:72, -1.25, -0.26, 0.11, 50.82, -183.47, -65.80
33:0:72, -1.38, -0.11, 0.25, 55.86, -190.26, -58.66
33:0:72, -1.40, 0.01, 0.24, 59.22, -176.47, -27.93
33:0:72, -1.38, 0.16, 0.48, 113.82, -160.09, 21.21
33:0:72, -1.53, 0.30, 0.39, 146.93, -173.95, 69.02
33:0:72, -1.29, 0.35, 0.27, 122.36, -213.78, 102.55
33:0:72, -0.98, 0.47, 0.28, 47.18, -196.49, 143.99
33:0:72, -0.94, 0.65, -0.21, -0.98, -173.25, 156.73
33:0:72, -1.28, 0.50, -0.28, -6.79, -192.64, 152.67
33:0:72, -1.26, 0.77, -0.35, -65.52, -156.73, 169.12
33:0:72, -1.39, 0.81, -0.70, -107.45, -137.06, 142.38
33:0:72, -1.43, 0.63, -0.96, -217.35, -159.39, 148.12
33:0:72, -1.13, 0.32, -0.75, -258.16, -202.37, 113.33
33:0:72, -0.96, -0.25, -0.12, -269.50, -202.65, 95.06
33:0:72, -0.53, -0.33, 0.47, -217.91, -205.45, 75.11
33:0:72, -0.45, -0.36, 0.92, -141.75, -209.30, 54.32
33:0:72, -0.47, -0.34, 0.79, -147.91, -232.61, 25.41
33:0:72, -0.62, -0.77, 0.29, -211.19, -218.75, -5.95
33:0:72, -0.56, -0.88, -0.15, -219.94, -199.01, -12.46
33:0:72, -0.48, -0.61, -0.02, -176.61, -184.03, -16.80
33:0:72, -0.52, -0.33, 0.18, -106.75, -174.93, -24.78
33:0:72, -0.49, -0.06, 0.36, -33.25, -172.76, -20.30
33:0:72, -0.53, 0.16, 0.34, -2.24, -164.99, -17.92
33:0:72, -0.52, 0.19, 0.27, -7.63, -167.51, -10.36
33:0:72, -0.57, 0.28, 0.29, -45.57, -147.28, -27.86
33:0:72, -0.39, 0.01, 0.23, -53.83, -142.73, -25.20
33:0:72, -0.22, -0.12, 0.28, -43.12, -138.53, -16.17
33:0:72, -0.25, 0.04, 0.34, -42.84, -108.50, -24.29
33:0:72, -0.11, -0.09, 0.30, -38.92, -99.96, -8.82
33:0:72, -0.11, 0.09, 0.35, -33.32, -80.43, -14.07
33:0:72, -0.14, 0.13, 0.38, -29.75, -62.16, -14.84
33:0:72, -0.08, 0.04, 0.38, -40.25, -43.61, -14.63
33:0:72, 0.00, -0.24, 0.40, -31.50, -24.64, -8.33
33:0:72, 0.06, -0.21, 0.38, -21.49, -3.36, -2.94
33:0:72, 0.13, -0.32, 0.43, 2.94, 14.98, 5.11
33:0:72, 0.04, -0.23, 0.60, 24.43, 39.76, 19.39
33:0:72, 0.09, -0.33, 0.73, 51.59, 55.72, 34.16
33:0:72, 0.04, -0.11, 0.94, 81.69, 77.91, 43.96
33:0:72, -0.11, 0.10, 1.05, 148.12, 122.71, 51.03
33:0:72, 0.12, 0.01, 0.81, 205.31, 143.01, 56.28
33:0:72, -0.40, 0.31, 0.77, 237.86, 89.11, 21.07
33:0:72, -1.09, 0.46, 0.73, 176.89, 53.97, -3.01
33:0:72, -1.52, -0.21, 0.79, 111.44, 65.24, 1.33
33:0:72, -1.89, 0.01, 2.03, 50.05, 75.53, 12.88
33:0:72, -1.90, 0.38, 1.04, 17.71, 66.78, 17.71
33:0:72, -1.68, 0.60, 0.77, 62.44, 98.07, 39.27
33:0:72, -1.36, 0.43, 0.73, 5.95, 107.59, 26.25
33:0:72, -1.09, 0.14, 0.45, -24.22, 72.73, 24.36
33:0:72, -0.44, 0.02, 0.38, -3.85, 110.11, 12.95
33:0:72, -0.62, -0.08, 0.48, 2.59, 95.06, 6.37
33:0:72, -0.68, -0.16, 0.64, 13.37, 105.84, -12.11
33:0:72, -0.84, -0.23, 0.44, 27.86, 113.96, -22.33
33:0:72, -0.88, -0.18, 0.30, 42.98, 116.06, -35.91
33:0:72, -0.83, -0.05, 0.38, 61.81, 120.61, -43.61
33:0:72, -0.87, 0.10, 0.37, 63.77, 123.34, -46.48
33:0:72, -0.95, 0.25, 0.37, 64.82, 124.67, -48.09
33:0:72, -1.01, 0.32, 0.33, 61.04, 122.57, -48.02
33:0:72, -1.01, 0.32, 0.35, 63.28, 120.61, -49.56
33:0:72, -0.99, 0.28, 0.37, 71.54, 122.08, -52.92
33:0:72, -0.92, 0.24, 0.35, 69.30, 127.75, -53.62
33:0:72, -0.84, 0.16, 0.36, 68.53, 135.17, -50.05
33:0:72, -0.77, 0.22, 0.33, 39.48, 133.42, -46.97
33:0:72, -0.79, 0.18, 0.31, 38.29, 123.83, -48.02
33:0:72, -0.89, 0.11, 0.29, 51.03, 116.48, -58.31
33:0:72, -0.90, 0.05, 0.32, 63.63, 117.46, -59.50
33:0:72, -0.82, 0.16, 0.27, 85.96, 110.88, -63.56
33:0:72, -0.65, 0.16, 0.27, 101.57, 98.35, -79.59
33:0:72, -0.72, 0.19, 0.24, 82.04, 88.06, -77.07
33:0:72, -0.87, 0.25, 0.21, 47.67, 76.79, -73.57
33:0:72, -1.07, 0.22, 0.25, 21.56, 78.19, -62.44
33:0:72, -1.32, 0.33, 0.40, -10.50, 84.91, -53.27
33:0:72, -1.29, 0.34, 0.25, -39.13, 74.62, -42.63
33:0:72, -0.95, 0.36, 0.23, -76.09, 66.22, -37.73
33:0:72, -0.87, 0.24, 0.24, -91.07, 64.75, -32.41
33:0:72, -0.88, 0.14, 0.27, -93.10, 64.89, -10.01
33:0:72, -0.85, 0.21, 0.23, -83.16, 74.20, 8.33
33:0:72, -0.82, 0.24, 0.18, -70.70, 80.08, 23.38
33:0:72, -0.82, 0.25, 0.13, -67.48, 78.40, 21.70
33:0:72, -0.83, 0.06, 0.19, -48.79, 69.09, 17.71
33:0:72, -0.82, 0.08, 0.31, -35.91, 76.51, 24.08
33:0:72, -0.86, 0.02, 0.31, -15.12, 87.92, 29.68
33:0:72, -0.82, -0.04, 0.32, 14.07, 102.69, 36.68
33:0:72, -0.71, -0.08, 0.28, 45.64, 129.64, 42.14
33:0:72, -0.83, -0.15, 0.22, 31.99, 140.84, 34.72
33:0:72, -1.11, -0.08, 0.14, -14.28, 146.79, 15.12
